Name,MA
190827020936_@00000233@-00000-02244,28.90737995
190605010802_@00000017@-34645-01741,25.14575337
190718010750_@00000136@-31116-01933,26.16116453
200311060919_@00001189@,20.64535217
191011020856_@00000052@-10112-02735,19.68491548
190927010807_@00000483@-03826-02521,23.13439453
190911031034_@00000261@-01255-05607,29.59797974
190912010801_@00000262@-04955-01739,32.50003131
190611010748_@00000022@-11845-01810,24.90043635
190723020817_@00000142@-10513-05427,24.44910649
190926041028_@00000480@-00000-02011,21.93530774
190918010832_@00000382@-04514-02559,31.33552706
190929021052_@00000417@-00712-03223,26.14415605
190918020857_@00000278@-00000-02515,28.62740602
190617010757_@00000030@-21350-01814,27.54293232
190923020929_@00000282@-01830-01922,23.13706756
200305010807_@00001140@,18.3693736
190705010800_@00000041@-20329-04725,29.25740223
191021021017_@00000066@-00000-01829,23.23158316
191105040914_@00000105@-00000-00952,24.59549318
190929020840_@00000489@-02216-02839,23.6170505
190723020817_@00000142@-00756-01457,22.83960898
190705010800_@00000041@-05308-01052,25.18228505
190919121448_@00000442@-00033-02652,23.23523525
191023020829_@00000078@-00000-05326,26.74018908
190731010804_@00000148@-14336-01557,29.30197608
191011020856_@00000052@-02600-02100,26.94218076
190823031028_@00000340@-01709-02123,30.74052172
190925061636_@00000474@-00000-01651,22.74876228
190927010803_@00000047@-00103-02153,21.08141658
190924010817_@00000008@-24131-01748,30.57873268
190828010817_@00000234@-04311-04886,21.34931219
190618010801_@00000031@-00054-02832,25.56058183
191015010803_@00000057@-23520-02617,23.45491309
191105040914_@00000105@-11631-01685,25.17610598
190731010804_@00000148@-20054-02612,26.35552282
190726010800_@00000145@-15518-02810,30.9699871
190624030759_@00000036@-03800-02800,24.89418891
190731010804_@00000148@-31210-01526,25.3964688
191023031050_@00000079@-02812-03031,24.53849497
190619010803_@00000032@-11449-04715,30.9362525
190919010802_@00000280@-03620-02500,29.47618357
191031010804_@00000092@-11203-04454,26.78457786
190819050942_@00000294@-00316-02107,29.69111983
191106051128_@00000113@-00000-02307,28.57548088
190821061122_@00000205@-00000-02143,25.08517193
191105030851_@00000104@-00000-01921,32.78496576
190918021537_@00000383@-04500-02330,31.42783547
190822101157_@00000216@-00000-02635,28.36331121
190724010758_@00000143@-00526-02651,23.13974621
190624030759_@00000036@-10602-02458,32.62381504
190924011502_@00000468@-00015-02516,24.25932255
190530010802_@00000013@-24430-02310,24.97243737
200122101635_@00000822@,21.57335336
190719020751_@00000138@-33107-02028,26.66527846
190920051057_@00000453@-00001-02353,22.86847283
191101041024_@00000101@-11352-02031,21.41882514
190827031045_@00000347@-00010-03513,28.74257894
190710010754_@00000130@-12246-04607,26.74464398
190805010846_@00000171@-11751-03752,25.87511156
191014041407_@00000499@-05549-02415,23.82632765
190618010801_@00000031@-40100-02000,29.15658522
190923020929_@00000282@-00000-01733,31.78259125
200121110926_@00000782@,30.10696297
190930010806_@00000490@-11523-01927,23.52065927
191014030946_@00000498@-12535-01949,22.39683325
190919020931_@00000386@-00100-02425,32.23426981
191010010812_@00000050@-13236-03354,25.18231568
190725010759_@00000144@-22714-02541,28.05052552
190718010750_@00000136@-04842-04402,22.52438254
190827041514_@00000348@-00000-01110,32.64698925
190919010847_@00000385@-00124-03416,31.49406426
190722020802_@00000140@-13639-01605,32.59127668
190730010804_@00000147@-35009-00919,32.55693841
190618010801_@00000031@-25200-05200,18.81010007
190917010816_@00000376@-00053-02702,22.6250986
190617010757_@00000030@-05830-02336,30.08846464
190723020817_@00000142@-02619-02631,22.54232929
190925010829_@00000469@-02924-02029,23.13950885
190719020751_@00000138@-02502-02153,31.52603924
190916040955_@00000375@-05308-01727,21.94180425
190903020835_@00000241@-05021-03251,32.76652968
190821010801_@00000200@-20917-01517,27.97693797
190918010832_@00000382@-30020-04941,24.15980554
190820181515_@00000317@-10818-02600,18.60651119
190717010754_@00000135@-00903-01943,30.1483387
190819061012_@00000295@-00039-01921,27.11129574
190926010811_@00000045@-00839-03555,24.61501056
190605010802_@00000017@-00844-04046,24.82096457
190927010807_@00000483@-11312-01842,23.21624128
190705010800_@00000041@-10856-03133,30.47276869
190930021021_@00000491@-01505-04810,22.58019963
190925041409_@00000472@-00919-02531,23.37692079
191012011533_@00000495@-00000-02036,22.86255603
190921010802_@00000462@-05053-01908,24.07792591
190820151025_@00000314@-00040-02020,29.16932252
190921010802_@00000462@-00639-02155,22.94860114
190704010749_@00000040@-11205-02242,28.14677933
190920020840_@00000392@-00003-02129,23.39544099
190712010803_@00000131@-13557-10739,34.3406964
190826010856_@00000343@-00130-02659,30.65469238
190925021048_@00000043@-00000-05722,32.00351307
190619010803_@00000032@-31235-00925,29.74929291
191010010812_@00000050@-21938-01902,20.70584642
200316030940_@00001297@,21.86072272
200325111025_@00001389@,22.93657594
191108030940_@00000119@-11522-03156,29.87738235
190820171430_@00000316@-00106-03137,31.19406368
